height,NOMA_energy_efficiency_40,NOMA_energy_efficiency_60,OMA_energy_efficiency_40,OMA_energy_efficiency_60,ex-NOMA_energy_efficiency_40,ex-NOMA_energy_efficiency_60
10,185.77851729279143,182.61009033847583,170.00747092340927,156.01954148282746,178.23804474416693,176.30391236225825
20,166.5601153119998,163.98076182532583,157.2942590578835,136.21847925748713,167.91797186936563,145.11683007513398
30,172.96302523344383,168.139545225857,161.87565485361287,142.77076648981736,164.43347854397467,165.4084650761425
40,166.6178260931952,161.22264409856234,149.44814070755865,134.85888374121626,159.00722643538728,155.76646731462654
50,158.40364163699644,152.8828257043963,149.15453224941774,125.9760546162974,153.47654408236536,135.84757945886219
60,155.51234690147967,148.62233814620305,138.53737237202716,122.45360923895467,147.4524915302566,131.80068878628944
70,150.3755981826034,153.54029088863817,133.83171826097598,127.4267880468089,150.18568758249148,141.3591987244089
80,156.20415044996946,146.2424827031946,139.52747311299956,117.85378536216567,149.94248656643654,128.6199264775438
90,146.21406007570408,142.40266157956927,138.44359526904194,116.88762917165181,137.70812371683618,126.43638509943511
100,149.40552561761078,146.39414960881876,133.34700488976972,119.64274969984382,148.60838939821357,135.12005633418192
110,142.4509201286525,141.99633305984344,126.21605856405863,117.09095626593822,141.71205321492585,132.01616309035848
120,147.6920265830414,144.10018837028588,134.0487567797595,116.36615495340894,141.6266570581156,128.56681361551657
130,137.23402008137148,138.9835040217626,129.3591557527083,111.96885235737093,134.30255270835826,134.8332277924038
