number_of_UEs,NOMA_total_power,OMA_total_power,ex-NOMA_total_power,NOMA_energy_efficiency,OMA_energy_efficiency,ex-NOMA_energy_efficiency
20,-29.70793163999652,-33.81476244194128,-27.450779211819164,172.01242085377928,176.119251655724,169.75526842560188
30,-47.88795782740841,-38.27359994956144,-46.791893256499876,191.72611148721273,182.11175360936576,190.6300469163042
40,-5.3072576375198155,-11.773884948123964,-21.5764104672723,150.62204680794235,157.08867411854652,166.89119963769485
50,-40.943277642875074,-13.576416198514618,-37.9796149444508,187.0922498032064,159.72538835884598,184.12858710478216
60,-33.1667292954523,-13.091713904776373,-24.538592176864412,180.24243105643166,160.16741566575575,171.61429393784377
70,-35.751728830898024,38.50256752071723,-26.92380495913751,183.40095867739691,109.14666232578165,174.57303480563638
80,-25.350044348608908,45.136183847740234,-13.475298205787949,173.67513347567126,103.18890527932213,161.8003873328503
90,-18.02376393757429,48.26525657587244,-14.438007287725814,166.78594234349072,100.49692183004397,163.20018569364223
100,-21.03623988439083,44.55922800775947,-0.013333864841972892,170.33042914153378,104.73496124938345,149.3075231219849
110,-19.69065280839118,42.82499674557599,0.16944407889569502,169.33796201892747,106.8223124649603,149.47786513164058
120,-14.689555717050427,42.86710948381216,-1.2377305192872394,164.77555743466962,107.21889223380701,151.32373223690644
130,-10.149902124835723,45.14783762893237,5.497373252842484,160.5321285085229,105.2343887547548,144.8848531308447
