number_of_users,NOMA_total_power,OMA_total_power,NOMA_power_efficiency,OMA_power_efficiency
4,-42.600389864409884,-43.70543681073556,177.22436984339942,178.32941678972514
8,-28.549573133155512,-30.710454423099208,166.18385306878486,168.3447343587286
12,-35.87088812397048,-35.212306612912954,175.26608065015665,174.60749913909916
16,-28.635020674681574,-28.49607960228067,169.27960056695073,169.14065949454988
20,-25.255768379127574,-23.539699784093596,166.8694484014773,165.15337980644335
24,-27.558902801105244,-25.090409878614082,169.96439528393125,167.49590236144007
28,-24.595668921873873,-20.2769198335536,167.670629301006,163.35188021268573
32,-24.701774892133965,-17.040589962812934,168.35665474104297,160.69546981172195
36,-22.269892469861944,-11.152887522588106,166.43629754324476,155.31929259597092
40,-16.19877386117882,-3.614388092076865,160.8227538401684,148.23836807106642
44,-19.58933534593615,-10.452519560682223,164.62724217650793,155.49042639125403
48,-13.483259954017665,7.872361598469278,158.8990523934835,137.54343084099654
52,-18.730729360009654,-0.12024646312261064,164.49414286206758,145.88365996518053
56,-15.115069525665154,6.364673761598069,161.2003298614371,139.72058657417386
60,-13.935184233486211,6.8707898950226065,160.32007680303258,139.51410267452377
64,-13.652852637610337,-1.4508195080784305,160.31803244315913,148.11599931362724
68,-16.140768368460478,39.39213374237322,163.0692375612328,107.53633545039906
72,-5.464489978866551,51.02477326780977,152.64119500888916,96.15193176221284
76,-7.143831083069616,47.233484365005076,154.55534707158745,100.17803162351278
80,-8.958595219957108,44.37978428085391,156.59287515558648,103.25449565477547
