number_of_users,NOMA_avg_power,OMA_avg_power,NOMA_power_efficiency,OMA_power_efficiency
4,-20.14234769881274,-30.12911972103771,148.74572776452268,158.73249978674767
8,-15.087029095905011,-29.344114006732276,143.69040916161495,157.94749407244223
12,-24.793706356220397,2.7221261050832424,153.39708642193034,125.88125396062668
16,29.240321215028192,2.298880013044894,99.36305885068174,126.30450005266503
20,31.41880792620871,18.594633946324937,97.18457213950123,110.008746119385
24,-8.635018549759659,53.891833115133984,137.2383986154696,74.71154695057595
28,-7.430151210058647,104.57321005476834,136.03353127576858,24.0301700109416
32,27.7836068457845,99.68629168941048,100.81977321992542,28.91708837629945
36,21.15603698253573,104.14206636497903,107.4473430831742,24.461313700730905
40,12.464793861929774,108.3158250887459,116.13858620378016,20.287554976964046
44,19.922613405382418,271.9689645310507,108.6807666603275,-143.36558446534076
48,34.106740595003735,274.1003328533547,94.4966394707062,-145.49695278764477
52,45.87742978388824,275.04358671115506,82.7259502818217,-146.44020664544513
56,49.87561438133529,265.0695103848801,78.72776568437465,-136.4661303191702
60,51.689026294276076,273.9962445693734,76.91435377143385,-145.3928645036635
64,78.88107327037127,271.66587237534196,49.72230679533866,-143.06249230963206
68,79.29274129932836,271.56702221144326,49.31063876638159,-142.9636421457333
72,76.35761154703088,269.74234650631854,52.24576851867905,-141.13896644060864
76,92.49185878466312,269.9747797206446,36.11152128104682,-141.3713996549347
80,104.66829965495477,269.2481589734421,23.93508041075517,-140.6447789077322
