number_of_users,NOMA_avg_power,OMA_avg_power,NOMA_power_efficiency,OMA_power_efficiency
4,0.6556718799665838,0.22669210523987468,30.03411738294418,31.09618513157298
8,0.07035430079589172,2.1151151693626513,32.266233947815536,28.86291332018007
12,0.09406441845185183,82.19597335760098,31.975798013540643,25.20291626985011
16,0.45575185468323837,1332.223784778987,30.397829380707876,22.41741774121549
20,3.3868158678262383,117334.22999667746,28.392132376822815,17.93924077689507
24,24.601716472330576,92429804.61794879,26.409206368993008,11.270062539394457
28,48.87726341281772,11126695784882.076,25.722710257325208,-0.42834577767119253
32,411.2176466771244,25922924469269.0,23.592899956504173,-1.2741262229995212
36,8796.00153051436,136933409398384.72,20.529970059119318,-2.93849327600922
40,2918.2996494128283,20503432135754.504,21.633266170987117,-1.0395908245207217
44,59592.19307693532,2.3550645034097247e+30,18.616742728963477,-40.32209832210242
48,287733.4019555694,3.1246975782081004e+29,17.042232942044727,-38.30228261556415
52,5283761.671522842,3.270244700663435e+29,14.1318737449876,-38.34780992614875
56,58657588.867765106,3.506634518812386e+29,11.724795067642091,-38.41760186299257
60,110970916.18845329,8.160037921250802e+29,11.087243876171037,-39.26219392820952
